COCA_clean,mean_adaptcapacity,rescaled_adaptcapacity
"Addison, ME",1.8666666666666667,0.5263157894736842
"Atlantic City, NJ",0.5333333333333333,0
"Avalon, NJ",2.033333333333333,0.5921052631578947
"Bar Harbor, ME",2.6333333333333333,0.8289473684210525
"Barnegat Light Long Beach, NJ",2.2,0.6578947368421053
"Barnstable, MA",2.8,0.894736842105263
"Beals Island, ME",1.9666666666666666,0.5657894736842104
"Beaufort, NC",1.4666666666666666,0.36842105263157887
"Belford, NJ",2.5,0.7763157894736842
"Beverly, MA",3,0.9736842105263157
"Blue Hill, ME",2.3,0.6973684210526314
"Boothbay Harbor, ME",2.1333333333333333,0.631578947368421
"Boston, MA",1.8666666666666667,0.5263157894736842
"Bremen, ME",2.466666666666667,0.7631578947368421
"Bristol New Harbor Pemaquid, ME",2.2,0.6578947368421053
"Bristol, RI",3,0.9736842105263157
"Brunswick, ME",2.466666666666667,0.7631578947368421
"Bucks Harbor, ME",2.066666666666667,0.605263157894737
"Cape may, NJ",1.7666666666666666,0.48684210526315785
"Cape Porpoise, ME",2.6333333333333333,0.8289473684210525
"Chatham, MA",1.9666666666666666,0.5657894736842104
"Chebeague Island, ME",2.5,0.7763157894736842
"Chincoteague, VA",1.9,0.5394736842105262
"Cohasset, MA",2.966666666666667,0.9605263157894737
"Cundys Harbor, ME",1.9333333333333333,0.5526315789473684
"Cushing, ME",2.533333333333333,0.7894736842105262
"Cutler, ME",1.8,0.4999999999999999
"Dennis, MA",2.1,0.618421052631579
"District 1 Grafton Seaford Yorktown, VA",3,0.9736842105263157
"Duxbury, MA",2.566666666666667,0.8026315789473685
"East Hampton, NY",2.1,0.618421052631579
"Eastham, MA",2.1666666666666665,0.644736842105263
"Eastport, ME",1.2666666666666666,0.28947368421052627
"Edgartown, MA",2.3,0.6973684210526314
"Engelhard, NC",1.2333333333333334,0.2763157894736842
"Fairhaven, MA",2.7,0.8552631578947368
"Fall River, MA",1.2,0.26315789473684204
"Falmouth, MA",2,0.5789473684210527
"Freeport, ME",2.1666666666666665,0.644736842105263
"Freeport, NY",1.8333333333333333,0.5131578947368419
"Friendship, ME",2.433333333333333,0.7499999999999999
"Georgetown, ME",2.2333333333333334,0.6710526315789473
"Gloucester, MA",2.7666666666666666,0.881578947368421
"Gouldsboro Corea Prospect Harbor, ME",1.9333333333333333,0.5526315789473684
"Greenport, NY",1.6,0.4210526315789474
"Hampton Bays Shinnecock, NY",2.5,0.7763157894736842
"Hampton Hampton Compact, NH",2.966666666666667,0.9605263157894737
"Hampton, VA",2.1,0.618421052631579
"Hancock, ME",2.466666666666667,0.7631578947368421
"Harpswell Bailey Island, ME",1.9333333333333333,0.5526315789473684
"Harwichport, MA",2.2666666666666666,0.6842105263157894
"Hatteras Avon Buxton Frisco Hatteras Rodanthe Salvo Waves, NC",2.2333333333333334,0.6710526315789473
"Hingham, MA",2.8333333333333335,0.9078947368421052
"Hobucken, NC",2.966666666666667,0.9605263157894737
"Hull, MA",2.8333333333333335,0.9078947368421052
"Hyannis, MA",2.8,0.894736842105263
"Hyannisport, MA",2.8,0.894736842105263
"Ipswich, MA",2.8,0.894736842105263
"Island Park, NY",2.1333333333333333,0.631578947368421
"Islip, NY",2.6666666666666665,0.8421052631578946
"Jamestown, RI",2.8,0.894736842105263
"Jonesport, ME",1.6666666666666667,0.4473684210526315
"Kennebunkport, ME",2.6333333333333333,0.8289473684210525
"Kittery Kittery Point, ME",2.6666666666666665,0.8421052631578946
"Little Compton, RI",2.6,0.8157894736842105
"Lubec, ME",1.2666666666666666,0.28947368421052627
"Machiasport, ME",2.2,0.6578947368421053
"Manchester, MA",2.8666666666666667,0.9210526315789473
"Marblehead, MA",3,0.9736842105263157
"Marshfield Green Harbor Cedar Crest Marshfield Hills Ocean Bluff Brant Rock, MA",2.966666666666667,0.9605263157894737
"Matinicus, ME",2.6333333333333333,0.8289473684210525
"Mattituck, NY",2.466666666666667,0.7631578947368421
"Menemsha, MA",2.7666666666666666,0.881578947368421
"Milbridge, ME",1.0666666666666667,0.21052631578947364
"Montauk, NY",2.3333333333333335,0.7105263157894737
"Moriches, NY",2.7333333333333334,0.8684210526315789
"Nahant, MA",2.8333333333333335,0.9078947368421052
"Nantucket, MA",2.566666666666667,0.8026315789473685
"New Bedford, MA",1.4,0.34210526315789463
"New London, CT",1.6,0.4210526315789474
"New Shoreham, RI",2.7,0.8552631578947368
"Newburyport, MA",3,0.9736842105263157
"Newington, NH",2.933333333333333,0.9473684210526314
"Newport News, VA",2.033333333333333,0.5921052631578947
"Newport, RI",2.566666666666667,0.8026315789473685
"North Kingstown Saunderstown, RI",2.9,0.9342105263157894
"Oak Bluffs, MA",2.466666666666667,0.7631578947368421
"Ocean City, MD",2.1333333333333333,0.631578947368421
"Ogunquit, ME",2.033333333333333,0.5921052631578947
"Oriental, NC",2.1666666666666665,0.644736842105263
"Orleans, MA",2.066666666666667,0.605263157894737
"Owls Head, ME",2.5,0.7763157894736842
"Pembroke, ME",1.8666666666666667,0.5263157894736842
"Plymouth, MA",2.7,0.8552631578947368
"Point Judith, RI",2.6,0.8157894736842105
"Point Lookout, NY",2.566666666666667,0.8026315789473685
"Point Pleasant, NJ",2.7,0.8552631578947368
"Port Clyde Tenants Harbor Saint George Spruce Head, ME",2.5,0.7763157894736842
"Portland, ME",2.3333333333333335,0.7105263157894737
"Portsmouth, NH",2.7,0.8552631578947368
"Provincetown, MA",2.4,0.7368421052631579
"Reedville District 5, VA",1.7666666666666666,0.48684210526315785
"Rockland, ME",2.1,0.618421052631579
"Rockport, MA",2.8666666666666667,0.9210526315789473
"Rockport, ME",2.7,0.8552631578947368
"Rye, NH",2.6666666666666665,0.8421052631578946
"Sandwich East Sandwich Forestdale, MA",2.7,0.8552631578947368
"Saugus, MA",2.8666666666666667,0.9210526315789473
"Scarborough, ME",2.6666666666666665,0.8421052631578946
"Scituate North Scituate, MA",2.8333333333333335,0.9078947368421052
"Sea Isle City, NJ",2.2,0.6578947368421053
"Seabrook, NH",2.566666666666667,0.8026315789473685
"Shinnecock, NY",2,0.5789473684210527
"Sorrento, ME",2.3666666666666667,0.7236842105263157
"South Bristol, ME",2.2333333333333334,0.6710526315789473
"South Harpswell, ME",1.9333333333333333,0.5526315789473684
"South Kingstown, RI",2.7666666666666666,0.881578947368421
"South Thomaston, ME",2.7,0.8552631578947368
"Southport, ME",2.2,0.6578947368421053
"Southwest Harbor, ME",1.8333333333333333,0.5131578947368419
"Stonington Mystic Pawcatuck, CT",2.8666666666666667,0.9210526315789473
"Stonington, ME",2.033333333333333,0.5921052631578947
"Stueben, ME",1.3333333333333333,0.31578947368421045
"Swans Island, ME",2.1666666666666665,0.644736842105263
"Tiverton, RI",2.6666666666666665,0.8421052631578946
"Tremont, ME",2.1,0.618421052631579
"Truro, MA",2.2666666666666666,0.6842105263157894
"Vinalhaven, ME",2.1,0.618421052631579
"Vineyard Haven, MA",2.2666666666666666,0.6842105263157894
"Virginia Beach Lynnhaven, VA",2.566666666666667,0.8026315789473685
"Wachapreague, VA",2.1666666666666665,0.644736842105263
"Wanchese, NC",2.6,0.8157894736842105
"Wareham, MA",2.3666666666666667,0.7236842105263157
"Waretown, NJ",2.5,0.7763157894736842
"Warwick, RI",2.6666666666666665,0.8421052631578946
"Wellfleet, MA",2.033333333333333,0.5921052631578947
"Westerley Westerley Center, RI",2.6666666666666665,0.8421052631578946
"Westport, MA",2.8333333333333335,0.9078947368421052
"Wildwood, NJ",1.0333333333333334,0.1973684210526316
"Winter Harbor, ME",1.9666666666666666,0.5657894736842104
"Winthrop, MA",3.066666666666667,1
"Woods Hole, MA",2.7,0.8552631578947368
"Yarmouth, MA",2.3666666666666667,0.7236842105263157
"York Harbor, ME",2.933333333333333,0.9473684210526314
